stat-name,user,supervisor,hypervisor,machine,total
cycles,19448943572,9556869,0,2323405,19460823846
commits,15001694396,5048559,0,1574132,15008317087
ins_fetch,15764188694,5704743,0,1685461,15771578898
sim_time_milli_sec,0,0,0,0,2470947
insn_mem_delay,203142,430298,0,2276,635716
data_mem_delay,322596,1035006,0,999,1358601
exec_unit_delay,16891012080,6203995,0,1455780,16898671855
load_insn,2295419589,1273298,0,447544,2297140431
store_insn,644416741,797577,0,403684,645618002
atomic_insn,234,18014,0,0,18248
system_insn,573,127058,0,119118,246749
aritmetic_insn,8767567638,2007811,0,456376,8770031825
cond_branches,2569926482,537033,0,91612,2570555127
jal_insn,239115625,122535,0,9992,239248152
jalr_insn,98975137,145594,0,45806,99166537
int_mul_insn,386270273,13162,0,0,386283435
int_div_insn,720,205,0,0,925
fp_load_insn,378,3104,0,0,3482
fp_store_insn,392,3168,0,0,3560
fp_add_insn,60,0,0,0,60
fp_mul_insn,40,0,0,0,40
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,11,0,0,0,11
fp_misc_insn,503,0,0,0,503
load_byte_insn,387086621,21507,0,0,387108128
load_half_word_insn,738517932,3245,0,0,738521177
load_word_insn,198004633,226466,0,33868,198264967
load_double_word_insn,971810781,1025184,0,413676,973249641
itlb_reads,2116870128,683055,0,218780,2117771963
itlb_hits,2116859764,543613,0,191012,2117594389
load_tlb_reads,2295420156,1294067,0,447544,2297161767
load_tlb_hits,2295399203,1141127,0,401738,2296942068
store_tlb_reads,644417398,818404,0,403684,645639486
store_tlb_hits,644409440,753950,0,387854,645551244
cond_branches_taken,1557788235,230696,0,41916,1558060847
cond_branches_pred_correct,2236873086,356288,0,62466,2237291840
cond_branches_pred_incorrect,333053396,180745,0,29146,333263287
uncond_branches_pred_correct,289010536,91658,0,22768,289124962
uncond_branches_pred_incorrect,49080226,176471,0,33030,49289727
btb_reads,18672205938,6509905,0,1832871,18680548714
btb_hits,5472506139,804918,0,184598,5473495655
btb_inserts,286679390,566454,0,86346,287332190
btb_updates,2822162921,683045,0,135472,2822981438
int_regfile_reads,10888532351,3783304,0,1239095,10893554750
int_regfile_writes,11535114093,3411460,0,915858,11539441411
fp_regfile_reads,854,3168,0,0,4022
fp_regfile_writes,753,3104,0,0,3857
csr_reads,90,86417,0,105234,191741
csr_writes,43,61847,0,59428,121318
fu_alu_accesses,14615448814,4908145,0,1455014,14621811973
fu_mul_accesses,386271041,13162,0,0,386284203
fu_div_accesses,720,205,0,0,925
fu_fpu_alu_accesses,614,0,0,0,614
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,10364,139464,0,0,149828
load_page_walks,20953,152940,0,0,173893
store_page_walks,7958,64454,0,0,72412
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,9992,0,0,9992
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,427,0,0,0,427
supervisor_ecall,0,1946,0,0,1946
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,52,0,0,0,52
load_page_fault,43,0,0,0,43
store_page_fault,120,8,0,0,128
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,1946,0,0,0,1946
machine_timer_interrupt,1946,0,0,0,1946
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,21,0,0,21
machine_external_interrupt,0,0,0,0,0
pipeline_flush,468595707,609568,0,193232,469398507
L1_icache_reads,15764188694,5704743,0,1685461,15771578898
L1_icache_read_misses,7537,31265,0,341,39143
L1_dcache_reads,2295534822,2011881,0,437552,2297984255
L1_dcache_read_misses,9858,24641,0,70,34569
L1_dcache_writes,644417329,818349,0,401738,645637416
L1_dcache_write_misses,984,10871,0,95,11950
L2_cache_reads,18481,66964,0,506,85951
L2_cache_read_misses,7960,23849,0,53,31862
L2_cache_writes,4194,18104,0,88,22386
L2_cache_write_misses,11,38,0,1,50
