stat-name,user,supervisor,hypervisor,machine,total
cycles,20390904792,10532952,0,2486857,20403924601
commits,15564509259,5312288,0,1645287,15571466834
ins_fetch,16805966383,6044801,0,1787129,16813798313
sim_time_milli_sec,0,0,0,0,2710224
insn_mem_delay,243412,504306,0,3728,751446
data_mem_delay,375917,1427411,0,2039,1805367
exec_unit_delay,17894360361,6818689,0,1522168,17902701218
load_insn,1698572616,1339834,0,467809,1700380259
store_insn,502723375,847161,0,421979,503992515
atomic_insn,210,17037,0,0,17247
system_insn,519,134845,0,124548,259912
aritmetic_insn,10212202997,2111399,0,476901,10214791297
cond_branches,2303838367,561341,0,95742,2304495450
jal_insn,253545598,128691,0,10437,253684726
jalr_insn,113393597,151206,0,47871,113592674
int_mul_insn,480230179,14673,0,0,480244852
int_div_insn,629,149,0,0,778
fp_load_insn,287,2944,0,0,3231
fp_store_insn,343,3008,0,0,3351
fp_add_insn,40,0,0,0,40
fp_mul_insn,40,0,0,0,40
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,9,0,0,0,9
fp_misc_insn,453,0,0,0,453
load_byte_insn,342522702,19348,0,0,342542050
load_half_word_insn,747813923,1918,0,0,747815841
load_word_insn,251990636,237557,0,35393,252263586
load_double_word_insn,356245642,1083955,0,432416,357762013
itlb_reads,2118371471,735916,0,253800,2119361187
itlb_hits,2118361202,593832,0,224762,2119179796
load_tlb_reads,1698573076,1359674,0,467809,1700400559
load_tlb_hits,1698552944,1203913,0,419938,1700176795
store_tlb_reads,502723967,867059,0,421979,504013005
store_tlb_hits,502716039,801988,0,405419,503923446
cond_branches_taken,1428947760,253227,0,56346,1429257333
cond_branches_pred_correct,1739148923,349486,0,47773,1739546182
cond_branches_pred_incorrect,564689444,211855,0,47969,564949268
uncond_branches_pred_correct,307492467,95434,0,22648,307610549
uncond_branches_pred_incorrect,59446728,184463,0,35660,59666851
btb_reads,19476743945,6886039,0,1941179,19485571163
btb_hits,4957251740,838004,0,188351,4958278095
btb_inserts,361215211,596338,0,94793,361906342
btb_updates,2572691885,713802,0,141572,2573547259
int_regfile_reads,11454133033,3997919,0,1301956,11459432908
int_regfile_writes,12489093471,3586971,0,957188,12493637630
fp_regfile_reads,720,3008,0,0,3728
fp_regfile_writes,634,2944,0,0,3578
csr_reads,87,87195,0,110029,197311
csr_writes,42,61911,0,62158,124111
fu_alu_accesses,15084305687,5162630,0,1520739,15090989056
fu_mul_accesses,480231104,14673,0,0,480245777
fu_div_accesses,629,149,0,0,778
fu_fpu_alu_accesses,542,0,0,0,542
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,10269,142106,0,0,152375
load_page_walks,20132,155761,0,0,175893
store_page_walks,7928,65071,0,0,72999
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,10437,0,0,10437
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,384,0,0,0,384
supervisor_ecall,0,2041,0,0,2041
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,120,8,0,0,128
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,2041,0,0,0,2041
machine_timer_interrupt,2041,0,0,0,2041
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,7,0,0,7
machine_external_interrupt,0,0,0,0,0
pipeline_flush,727557367,662328,0,220655,728440350
L1_icache_reads,16805966383,6044801,0,1787129,16813798313
L1_icache_read_misses,9244,34350,0,266,43860
L1_dcache_reads,1698684826,2089443,0,457372,1701231641
L1_dcache_read_misses,9488,22935,0,63,32486
L1_dcache_writes,502723900,867046,0,419938,504010884
L1_dcache_write_misses,901,10536,0,83,11520
L2_cache_reads,19716,67984,0,412,88112
L2_cache_read_misses,8931,27762,0,83,36776
L2_cache_writes,4033,17420,0,78,21531
L2_cache_write_misses,60,159,0,0,219
