stat-name,user,supervisor,hypervisor,machine,total
cycles,20045479922,10665616,0,2449659,20058595197
commits,15020262960,5308905,0,1621193,15027193058
ins_fetch,16127415419,6050558,0,1760263,16135226240
sim_time_milli_sec,0,0,0,0,2627374
insn_mem_delay,265862,549346,0,3630,818838
data_mem_delay,398927,1462480,0,2098,1863505
exec_unit_delay,16907962141,6855366,0,1500230,16916317737
load_insn,2313570647,1338675,0,460933,2315370255
store_insn,640040917,843942,0,415765,641300624
atomic_insn,331,17766,0,0,18097
system_insn,574,134637,0,122691,257902
aritmetic_insn,8770195236,2105686,0,469993,8772770915
cond_branches,2573098850,566386,0,94348,2573759584
jal_insn,238252528,128879,0,10289,238391696
jalr_insn,98831684,151765,0,47174,99030623
int_mul_insn,386270245,14548,0,0,386284793
int_div_insn,625,157,0,0,782
fp_load_insn,345,3200,0,0,3545
fp_store_insn,357,3264,0,0,3621
fp_add_insn,61,0,0,0,61
fp_mul_insn,42,0,0,0,42
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,9,0,0,0,9
fp_misc_insn,509,0,0,0,509
load_byte_insn,388730257,20235,0,0,388750492
load_half_word_insn,741970454,2097,0,0,741972551
load_word_insn,196936262,236068,0,34879,197207209
load_double_word_insn,985934019,1083475,0,426054,987443548
itlb_reads,2288352548,741345,0,250862,2289344755
itlb_hits,2288342283,600663,0,222260,2289165206
load_tlb_reads,2313571240,1359312,0,460933,2315391485
load_tlb_hits,2313550023,1193475,0,413759,2315157257
store_tlb_reads,640041598,864635,0,415765,641321998
store_tlb_hits,640033612,797195,0,399458,641230265
cond_branches_taken,1640735276,259441,0,55932,1641050649
cond_branches_pred_correct,2055567379,349896,0,47388,2055964663
cond_branches_pred_incorrect,517531471,216490,0,46960,517794921
uncond_branches_pred_correct,288274920,96890,0,22297,288394107
uncond_branches_pred_incorrect,48809292,183754,0,35166,49028212
btb_reads,19037598481,6897588,0,1912074,19046408143
btb_hits,5518020494,846066,0,185500,5519052060
btb_inserts,292435035,598692,0,93532,293127259
btb_updates,2824647062,719011,0,139516,2825505589
int_regfile_reads,10983935066,4002536,0,1282459,10989220061
int_regfile_writes,11555574362,3581199,0,943221,11560098782
fp_regfile_reads,830,3264,0,0,4094
fp_regfile_writes,723,3200,0,0,3923
csr_reads,91,87372,0,108390,195853
csr_writes,44,62329,0,61216,123589
fu_alu_accesses,14634017237,5159572,0,1498502,14640675311
fu_mul_accesses,386270996,14548,0,0,386285544
fu_div_accesses,625,157,0,0,782
fu_fpu_alu_accesses,621,0,0,0,621
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,10265,140704,0,0,150969
load_page_walks,21217,165837,0,0,187054
store_page_walks,7986,67440,0,0,75426
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,10289,0,0,10289
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,411,0,0,0,411
supervisor_ecall,0,2006,0,0,2006
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,120,8,0,0,128
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,2006,0,0,0,2006
machine_timer_interrupt,2006,0,0,0,2006
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,7,0,0,7
machine_external_interrupt,0,0,0,0,0
pipeline_flush,676239323,666686,0,217112,677123121
L1_icache_reads,16127415419,6050558,0,1760263,16135226240
L1_icache_read_misses,9872,36417,0,301,46590
L1_dcache_reads,2313686804,2111501,0,450644,2316248949
L1_dcache_read_misses,10190,24323,0,58,34571
L1_dcache_writes,640041536,864620,0,413759,641319915
L1_dcache_write_misses,1050,10731,0,77,11858
L2_cache_reads,21188,71655,0,436,93279
L2_cache_read_misses,9640,29033,0,80,38753
L2_cache_writes,4434,18061,0,79,22574
L2_cache_write_misses,68,153,0,1,222
