stat-name,user,supervisor,hypervisor,machine,total
cycles,19449037501,11034907,0,2330904,19462403312
commits,15001680643,5576442,0,1573068,15008830153
ins_fetch,15764173231,6297704,0,1687653,15772158588
sim_time_milli_sec,0,0,0,0,2474732
insn_mem_delay,255789,654423,0,3880,914092
data_mem_delay,378338,1545963,0,1341,1925642
exec_unit_delay,16891037777,7144662,0,1455136,16899637575
load_insn,2295416220,1389000,0,447248,2297252468
store_insn,644415794,854872,0,403420,645674086
atomic_insn,218,18329,0,0,18547
system_insn,551,132484,0,119046,252081
aritmetic_insn,8767561223,2299627,0,456048,8770316898
cond_branches,2569924376,578753,0,91548,2570594677
jal_insn,239115270,131378,0,9984,239256632
jalr_insn,98974849,151398,0,45774,99172021
int_mul_insn,386270217,14365,0,0,386284582
int_div_insn,666,220,0,0,886
fp_load_insn,326,2976,0,0,3302
fp_store_insn,347,3040,0,0,3387
fp_add_insn,57,0,0,0,57
fp_mul_insn,38,0,0,0,38
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,11,0,0,0,11
fp_misc_insn,480,0,0,0,480
load_byte_insn,387085749,22797,0,0,387108546
load_half_word_insn,738517903,2967,0,0,738520870
load_word_insn,198004203,277577,0,33844,198315624
load_double_word_insn,971808691,1088635,0,413404,973310730
itlb_reads,2116867713,739860,0,218636,2117826209
itlb_hits,2116857602,600090,0,190884,2117648576
load_tlb_reads,2295416725,1409962,0,447248,2297273935
load_tlb_hits,2295396952,1259664,0,401474,2297058090
store_tlb_reads,644416398,875891,0,403420,645695709
store_tlb_hits,644408614,811283,0,387598,645607495
cond_branches_taken,1557787131,260036,0,41884,1558089051
cond_branches_pred_correct,2236871578,374764,0,61312,2237307654
cond_branches_pred_incorrect,333052798,203989,0,30236,333287023
uncond_branches_pred_correct,289010266,96151,0,21633,289128050
uncond_branches_pred_incorrect,49079853,186625,0,34125,49300603
btb_reads,18672187726,7159233,0,1834959,18681181918
btb_hits,5472502145,870166,0,179998,5473552309
btb_inserts,286678099,604383,0,90754,287373236
btb_updates,2822160404,733610,0,135376,2823029390
int_regfile_reads,10888523722,4222093,0,1239369,10893985184
int_regfile_writes,11535103908,3825555,0,915226,11539844689
fp_regfile_reads,791,3040,0,0,3831
fp_regfile_writes,684,2976,0,0,3660
csr_reads,86,86210,0,105170,191466
csr_writes,41,61735,0,59396,121172
fu_alu_accesses,14615435200,5429383,0,1454022,14622318605
fu_mul_accesses,386270977,14365,0,0,386285342
fu_div_accesses,666,220,0,0,886
fu_fpu_alu_accesses,586,0,0,0,586
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,10111,139791,0,0,149902
load_page_walks,19773,150298,0,0,170071
store_page_walks,7784,64608,0,0,72392
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,9984,0,0,9984
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,413,0,0,0,413
supervisor_ecall,0,1946,0,0,1946
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,122,8,0,0,130
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,1946,0,0,0,1946
machine_timer_interrupt,1946,0,0,0,1946
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,16,0,0,16
machine_external_interrupt,0,0,0,0,0
pipeline_flush,468594559,654182,0,195337,469444078
L1_icache_reads,15764173231,6297704,0,1687653,15772158588
L1_icache_read_misses,7273,31601,0,328,39202
L1_dcache_reads,2295526730,2123725,0,437264,2298087719
L1_dcache_read_misses,9733,26271,0,84,36088
L1_dcache_writes,644416329,875851,0,401474,645693654
L1_dcache_write_misses,967,11078,0,85,12130
L2_cache_reads,18090,69150,0,497,87737
L2_cache_read_misses,9212,33089,0,82,42383
L2_cache_writes,4166,18970,0,73,23209
L2_cache_write_misses,52,156,0,0,208
