stat-name,user,supervisor,hypervisor,machine,total
cycles,18099219713,10580824,0,2450931,18112251468
commits,15564511797,5030847,0,1464946,15571007590
ins_fetch,17484953212,6543868,0,1626095,17493123175
sim_time_milli_sec,0,0,0,0,2747299
insn_mem_delay,277535,628594,0,5666,911795
data_mem_delay,383194,1519147,0,2422,1904763
exec_unit_delay,0,0,0,0,0
load_insn,1698573201,1262671,0,416506,1700252378
store_insn,502723614,792315,0,375690,503891619
atomic_insn,214,17350,0,0,17564
system_insn,514,123647,0,110862,235023
aritmetic_insn,10212204287,2016547,0,424706,10214645540
cond_branches,2303838702,537291,0,85256,2304461249
jal_insn,253545668,120735,0,9298,253675701
jalr_insn,113393653,140797,0,42628,113577078
int_mul_insn,480230184,13382,0,0,480243566
int_div_insn,668,224,0,0,892
fp_load_insn,267,2912,0,0,3179
fp_store_insn,333,2976,0,0,3309
fp_add_insn,36,0,0,0,36
fp_mul_insn,36,0,0,0,36
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,9,0,0,0,9
fp_misc_insn,411,0,0,0,411
load_byte_insn,342522979,19519,0,0,342542498
load_half_word_insn,747813932,2432,0,0,747816364
load_word_insn,251990570,226124,0,31518,252248212
load_double_word_insn,356245987,1017508,0,384988,357648483
itlb_reads,2036625678,756630,0,205464,2037587772
itlb_hits,2036609059,614622,0,179617,2037403298
load_tlb_reads,1752720722,1339773,0,416511,1754477006
load_tlb_hits,1752139457,1191640,0,373883,1753704980
store_tlb_reads,502724200,812479,0,375690,503912369
store_tlb_hits,502716806,751023,0,360956,503828785
cond_branches_taken,1174075873,233295,0,39004,1174348172
cond_branches_pred_correct,1953628728,352955,0,55327,1954037010
cond_branches_pred_incorrect,402787542,202175,0,35640,403025357
uncond_branches_pred_correct,310371348,82992,0,18321,310472661
uncond_branches_pred_incorrect,76783352,214038,0,35435,77032825
btb_reads,20228524182,7396028,0,1770818,20237691028
btb_hits,5191749601,882946,0,180858,5192813405
btb_inserts,361128559,591281,0,95670,361815510
btb_updates,2645074957,723816,0,133613,2645932386
int_regfile_reads,0,0,0,0,0
int_regfile_writes,12489095439,3406591,0,852322,12493354352
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,582,2912,0,0,3494
csr_reads,79,80442,0,97940,178461
csr_writes,38,57623,0,55312,112973
fu_alu_accesses,15492372081,5198180,0,1369324,15498939585
fu_mul_accesses,496589961,13421,0,0,496603382
fu_div_accesses,714,316,0,0,1030
fu_fpu_alu_accesses,521,0,0,0,521
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,16619,142028,0,0,158647
load_page_walks,581264,147917,0,0,729181
store_page_walks,7394,61456,0,0,68850
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,9298,0,0,9298
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,383,0,0,0,383
supervisor_ecall,0,1812,0,0,1812
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,120,8,0,0,128
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,1812,0,0,0,1812
machine_timer_interrupt,1812,0,0,0,1812
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,1,12,0,0,13
machine_external_interrupt,0,0,0,0,0
pipeline_flush,581044242,675418,0,193047,581912707
L1_icache_reads,17484953212,6543868,0,1626095,17493123175
L1_icache_read_misses,8091,34770,0,339,43200
L1_dcache_reads,1752838231,2044162,0,407213,1755289606
L1_dcache_read_misses,9939,24977,0,72,34988
L1_dcache_writes,502724133,812447,0,373878,503910458
L1_dcache_write_misses,939,10837,0,78,11854
L2_cache_reads,19093,70826,0,489,90408
L2_cache_read_misses,9693,31826,0,109,41628
L2_cache_writes,4161,18389,0,78,22628
L2_cache_write_misses,66,177,0,2,245
